query_49: le information retrieval knowledge based systems i.e. expert systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |    REL     | 0.0714285714286 | 0.125  |
|  15  |  NON-REL   | 0.0666666666667 | 0.125  |
|  16  |  NON-REL   |      0.0625     | 0.125  |
|  17  |  NON-REL   | 0.0588235294118 | 0.125  |
|  18  |    REL     |  0.111111111111 |  0.25  |
|  19  |  NON-REL   |  0.105263157895 |  0.25  |
|  20  |  NON-REL   |       0.1       |  0.25  |
|  21  |  NON-REL   | 0.0952380952381 |  0.25  |
|  22  |  NON-REL   | 0.0909090909091 |  0.25  |
|  23  |  NON-REL   | 0.0869565217391 |  0.25  |
|  24  |  NON-REL   | 0.0833333333333 |  0.25  |
|  25  |  NON-REL   |       0.08      |  0.25  |
|  26  |  NON-REL   | 0.0769230769231 |  0.25  |
|  27  |  NON-REL   | 0.0740740740741 |  0.25  |
|  28  |  NON-REL   | 0.0714285714286 |  0.25  |
|  29  |  NON-REL   | 0.0689655172414 |  0.25  |
|  30  |  NON-REL   | 0.0666666666667 |  0.25  |
|  31  |  NON-REL   | 0.0645161290323 |  0.25  |
|  32  |  NON-REL   |      0.0625     |  0.25  |
|  33  |  NON-REL   | 0.0606060606061 |  0.25  |
|  34  |  NON-REL   | 0.0588235294118 |  0.25  |
|  35  |  NON-REL   | 0.0571428571429 |  0.25  |
|  36  |  NON-REL   | 0.0555555555556 |  0.25  |
|  37  |  NON-REL   | 0.0540540540541 |  0.25  |
|  38  |  NON-REL   | 0.0526315789474 |  0.25  |
|  39  |  NON-REL   | 0.0512820512821 |  0.25  |
|  40  |  NON-REL   |       0.05      |  0.25  |
|  41  |  NON-REL   | 0.0487804878049 |  0.25  |
|  42  |  NON-REL   |  0.047619047619 |  0.25  |
|  43  |  NON-REL   |  0.046511627907 |  0.25  |
|  44  |  NON-REL   | 0.0454545454545 |  0.25  |
|  45  |  NON-REL   | 0.0444444444444 |  0.25  |
|  46  |  NON-REL   | 0.0434782608696 |  0.25  |
|  47  |  NON-REL   | 0.0425531914894 |  0.25  |
|  48  |  NON-REL   | 0.0416666666667 |  0.25  |
|  49  |  NON-REL   | 0.0408163265306 |  0.25  |
|  50  |  NON-REL   |       0.04      |  0.25  |
|  51  |  NON-REL   | 0.0392156862745 |  0.25  |
|  52  |  NON-REL   | 0.0384615384615 |  0.25  |
|  53  |  NON-REL   | 0.0377358490566 |  0.25  |
|  54  |  NON-REL   |  0.037037037037 |  0.25  |
|  55  |  NON-REL   | 0.0363636363636 |  0.25  |
|  56  |  NON-REL   | 0.0357142857143 |  0.25  |
|  57  |  NON-REL   | 0.0350877192982 |  0.25  |
|  58  |  NON-REL   | 0.0344827586207 |  0.25  |
|  59  |  NON-REL   | 0.0338983050847 |  0.25  |
|  60  |  NON-REL   | 0.0333333333333 |  0.25  |
|  61  |  NON-REL   | 0.0327868852459 |  0.25  |
|  62  |  NON-REL   | 0.0322580645161 |  0.25  |
|  63  |  NON-REL   |  0.031746031746 |  0.25  |
|  64  |  NON-REL   |     0.03125     |  0.25  |
|  65  |  NON-REL   | 0.0307692307692 |  0.25  |
|  66  |  NON-REL   |  0.030303030303 |  0.25  |
|  67  |  NON-REL   | 0.0298507462687 |  0.25  |
|  68  |  NON-REL   | 0.0294117647059 |  0.25  |
|  69  |  NON-REL   | 0.0289855072464 |  0.25  |
|  70  |  NON-REL   | 0.0285714285714 |  0.25  |
|  71  |  NON-REL   | 0.0281690140845 |  0.25  |
|  72  |  NON-REL   | 0.0277777777778 |  0.25  |
|  73  |  NON-REL   |  0.027397260274 |  0.25  |
|  74  |  NON-REL   |  0.027027027027 |  0.25  |
|  75  |  NON-REL   | 0.0266666666667 |  0.25  |
|  76  |  NON-REL   | 0.0263157894737 |  0.25  |
|  77  |  NON-REL   |  0.025974025974 |  0.25  |
|  78  |  NON-REL   |  0.025641025641 |  0.25  |
|  79  |  NON-REL   | 0.0253164556962 |  0.25  |
|  80  |  NON-REL   |      0.025      |  0.25  |
|  81  |  NON-REL   | 0.0246913580247 |  0.25  |
|  82  |  NON-REL   | 0.0243902439024 |  0.25  |
|  83  |  NON-REL   | 0.0240963855422 |  0.25  |
|  84  |    REL     | 0.0357142857143 | 0.375  |
|  85  |  NON-REL   | 0.0352941176471 | 0.375  |
|  86  |  NON-REL   | 0.0348837209302 | 0.375  |
|  87  |  NON-REL   | 0.0344827586207 | 0.375  |
|  88  |  NON-REL   | 0.0340909090909 | 0.375  |
|  89  |  NON-REL   | 0.0337078651685 | 0.375  |
|  90  |  NON-REL   | 0.0333333333333 | 0.375  |
|  91  |  NON-REL   |  0.032967032967 | 0.375  |
|  92  |  NON-REL   | 0.0326086956522 | 0.375  |
|  93  |  NON-REL   | 0.0322580645161 | 0.375  |
|  94  |  NON-REL   |  0.031914893617 | 0.375  |
|  95  |  NON-REL   | 0.0315789473684 | 0.375  |
|  96  |  NON-REL   |     0.03125     | 0.375  |
|  97  |  NON-REL   | 0.0309278350515 | 0.375  |
|  98  |  NON-REL   |  0.030612244898 | 0.375  |
|  99  |  NON-REL   |  0.030303030303 | 0.375  |
| 100  |  NON-REL   |       0.03      | 0.375  |
+------+------------+-----------------+--------+
